Riesgo->F:ISO_3166_1_alpha2_to_lugar(lugar);A:peligro(29);probabilidad;texto;text;fechaActivacion;caducidad;formulaDisipacion
AF;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
AL;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
DZ;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
AD;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
AO;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
AG;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
AR;Probably_not;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
AM;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
AU;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
AT;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
AZ;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
BH;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
BD;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
BB;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
BY;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
BE;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
BZ;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
BJ;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
BT;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
BO;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
BA;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
BW;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
BR;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
BN;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
BG;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
BF;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
BI;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
KH;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
CM;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
CA;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
CV;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
CF;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
TD;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
CL;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
CN;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
CO;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
KM;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
CG;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
CR;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
CI;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
HR;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
CU;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
CY;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
CZ;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
CD;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
DK;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
DJ;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
DM;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
DO;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
EC;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
EG;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
SV;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
GQ;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
ER;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
EE;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
ET;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
FM;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
FJ;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
FI;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
FR;Probably_not;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
GA;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
GE;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
DE;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
GH;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
GR;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
GD;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
GT;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
GN;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
GW;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
GY;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
HT;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
HN;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
HU;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
IS;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
IN;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
ID;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
IR;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
IQ;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
IE;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
IL;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
IT;Probably_not;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
JM;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
JP;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
JO;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
KZ;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
KE;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
KI;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
KW;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
KG;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
LA;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
LV;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
LB;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
LS;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
LR;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
LY;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
LT;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
LU;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
MK;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
MG;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
MW;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
MY;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
MV;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
ML;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
MT;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
MH;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
MR;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
MU;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
MX;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
MD;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
MN;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
ME;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
MA;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
MZ;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
MM;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
NA;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
NP;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
NL;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
NZ;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
NI;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
NE;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
NG;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
KP;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
NO;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
OM;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
PK;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
PS;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
PA;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
PG;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
PY;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
PE;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
PH;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
PL;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
PT;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
QA;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
RO;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
RU;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
RW;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
LC;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
VC;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
WS;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
ST;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
SA;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
SN;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
RS;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
SC;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
SL;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
SG;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
SK;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
SI;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
SB;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
SO;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
ZA;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
KR;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
GS;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
ES;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
LK;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
SD;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
SR;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
SZ;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
SE;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
CH;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
SY;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
TW;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
TJ;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
TZ;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
TH;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
BS;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
GM;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
TL;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
TG;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
TO;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
TT;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
TN;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
TR;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
TM;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
UG;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
GB;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
UA;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
AE;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
UY;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
US;Probably_not;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
UZ;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
VU;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
VE;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
VN;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
YE;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
ZM;Impossibility;No existe riesgo;No risk;2017-07-27;-1;Homogenea
ZW;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
YT;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
RE;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
AS;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
CK;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
NC;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
TK;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
AI;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
AW;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
VI;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
KY;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
CW;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
GF;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
GP;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
MQ;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
MS;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
PR;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
BL;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
KN;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
SX;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
TC;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
VG;Fifty_fifty;El país ha notificado casos autóctonos de la enfermedad;The country has reported autochthonous cases of the disease;2017-07-27;-1;Homogenea
