Riesgo->F:ISO_3166_1_alpha2_to_lugar(lugar);A:peligro(76);probabilidad;texto;text;fechaActivacion;caducidad;formulaDisipacion
AF;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
AL;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
DZ;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
AD;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
AO;Probable;La enfermedad ha sido notificada recientemente o en el pasado, además el mosquito vector y los reservorios animales continúan presentes en la actualidad;Yellow fever has been reported currently or in the past, plus vectors and animal reservoirs currently exist;2017-07-27;-1;Homogenea
AG;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
AR;Fifty_fifty;El país no es holoendémico (sólo una parte del país tiene riesgo de transmisión de la fiebre amarilla);The country is not holoendemic (only a portion of the country has risk of yellow fever transmission);2017-07-27;-1;Homogenea
AM;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
AU;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
AT;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
AZ;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
BH;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
BD;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
BB;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
BY;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
BE;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
BZ;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
BJ;Probable;La enfermedad ha sido notificada recientemente o en el pasado, además el mosquito vector y los reservorios animales continúan presentes en la actualidad;Yellow fever has been reported currently or in the past, plus vectors and animal reservoirs currently exist;2017-07-27;-1;Homogenea
BT;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
BO;Fifty_fifty;El país no es holoendémico (sólo una parte del país tiene riesgo de transmisión de la fiebre amarilla);The country is not holoendemic (only a portion of the country has risk of yellow fever transmission);2017-07-27;-1;Homogenea
BA;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
BW;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
BR;Fifty_fifty;El país no es holoendémico (sólo una parte del país tiene riesgo de transmisión de la fiebre amarilla);The country is not holoendemic (only a portion of the country has risk of yellow fever transmission);2017-07-27;-1;Homogenea
BN;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
BG;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
BF;Probable;La enfermedad ha sido notificada recientemente o en el pasado, además el mosquito vector y los reservorios animales continúan presentes en la actualidad;Yellow fever has been reported currently or in the past, plus vectors and animal reservoirs currently exist;2017-07-27;-1;Homogenea
BI;Probable;La enfermedad ha sido notificada recientemente o en el pasado, además el mosquito vector y los reservorios animales continúan presentes en la actualidad;Yellow fever has been reported currently or in the past, plus vectors and animal reservoirs currently exist;2017-07-27;-1;Homogenea
KH;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
CM;Probable;La enfermedad ha sido notificada recientemente o en el pasado, además el mosquito vector y los reservorios animales continúan presentes en la actualidad;Yellow fever has been reported currently or in the past, plus vectors and animal reservoirs currently exist;2017-07-27;-1;Homogenea
CA;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
CV;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
CF;Probable;La enfermedad ha sido notificada recientemente o en el pasado, además el mosquito vector y los reservorios animales continúan presentes en la actualidad;Yellow fever has been reported currently or in the past, plus vectors and animal reservoirs currently exist;2017-07-27;-1;Homogenea
TD;Fifty_fifty;El país no es holoendémico (sólo una parte del país tiene riesgo de transmisión de la fiebre amarilla);The country is not holoendemic (only a portion of the country has risk of yellow fever transmission);2017-07-27;-1;Homogenea
CL;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
CN;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
CO;Fifty_fifty;El país no es holoendémico (sólo una parte del país tiene riesgo de transmisión de la fiebre amarilla);The country is not holoendemic (only a portion of the country has risk of yellow fever transmission);2017-07-27;-1;Homogenea
KM;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
CG;Probable;La enfermedad ha sido notificada recientemente o en el pasado, además el mosquito vector y los reservorios animales continúan presentes en la actualidad;Yellow fever has been reported currently or in the past, plus vectors and animal reservoirs currently exist;2017-07-27;-1;Homogenea
CR;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
CI;Probable;La enfermedad ha sido notificada recientemente o en el pasado, además el mosquito vector y los reservorios animales continúan presentes en la actualidad;Yellow fever has been reported currently or in the past, plus vectors and animal reservoirs currently exist;2017-07-27;-1;Homogenea
HR;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
CU;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
CY;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
CZ;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
CD;Fifty_fifty;El país no es holoendémico (sólo una parte del país tiene riesgo de transmisión de la fiebre amarilla);The country is not holoendemic (only a portion of the country has risk of yellow fever transmission);2017-07-27;-1;Homogenea
DK;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
DJ;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
DM;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
DO;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
EC;Fifty_fifty;El país no es holoendémico (sólo una parte del país tiene riesgo de transmisión de la fiebre amarilla);The country is not holoendemic (only a portion of the country has risk of yellow fever transmission);2017-07-27;-1;Homogenea
EG;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
SV;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
GQ;Probable;La enfermedad ha sido notificada recientemente o en el pasado, además el mosquito vector y los reservorios animales continúan presentes en la actualidad;Yellow fever has been reported currently or in the past, plus vectors and animal reservoirs currently exist;2017-07-27;-1;Homogenea
ER;Probably_not;El país está clasificado como bajo potencial de exposición a la enfermedad en algunas áreas. El resto de áreas se clasifican como sin riesgo.;The country is classified as  low potential for exposure to yellow fever  in only some areas,the remaining areas of this country are classified as having no risk of exposure to the disease.;2017-07-27;-1;Homogenea
EE;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
ET;Fifty_fifty;El país no es holoendémico (sólo una parte del país tiene riesgo de transmisión de la fiebre amarilla);The country is not holoendemic (only a portion of the country has risk of yellow fever transmission);2017-07-27;-1;Homogenea
FM;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
FJ;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
FI;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
FR;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
GA;Probable;La enfermedad ha sido notificada recientemente o en el pasado, además el mosquito vector y los reservorios animales continúan presentes en la actualidad;Yellow fever has been reported currently or in the past, plus vectors and animal reservoirs currently exist;2017-07-27;-1;Homogenea
GE;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
DE;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
GH;Probable;La enfermedad ha sido notificada recientemente o en el pasado, además el mosquito vector y los reservorios animales continúan presentes en la actualidad;Yellow fever has been reported currently or in the past, plus vectors and animal reservoirs currently exist;2017-07-27;-1;Homogenea
GR;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
GD;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
GT;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
GN;Probable;La enfermedad ha sido notificada recientemente o en el pasado, además el mosquito vector y los reservorios animales continúan presentes en la actualidad;Yellow fever has been reported currently or in the past, plus vectors and animal reservoirs currently exist;2017-07-27;-1;Homogenea
GW;Probable;La enfermedad ha sido notificada recientemente o en el pasado, además el mosquito vector y los reservorios animales continúan presentes en la actualidad;Yellow fever has been reported currently or in the past, plus vectors and animal reservoirs currently exist;2017-07-27;-1;Homogenea
GY;Probable;La enfermedad ha sido notificada recientemente o en el pasado, además el mosquito vector y los reservorios animales continúan presentes en la actualidad;Yellow fever has been reported currently or in the past, plus vectors and animal reservoirs currently exist;2017-07-27;-1;Homogenea
HT;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
HN;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
HU;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
IS;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
IN;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
ID;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
IR;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
IQ;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
IE;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
IL;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
IT;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
JM;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
JP;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
JO;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
KZ;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
KE;Fifty_fifty;El país no es holoendémico (sólo una parte del país tiene riesgo de transmisión de la fiebre amarilla);The country is not holoendemic (only a portion of the country has risk of yellow fever transmission);2017-07-27;-1;Homogenea
KI;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
KW;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
KG;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
LA;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
LV;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
LB;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
LS;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
LR;Probable;La enfermedad ha sido notificada recientemente o en el pasado, además el mosquito vector y los reservorios animales continúan presentes en la actualidad;Yellow fever has been reported currently or in the past, plus vectors and animal reservoirs currently exist;2017-07-27;-1;Homogenea
LY;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
LT;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
LU;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
MK;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
MG;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
MW;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
MY;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
MV;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
ML;Fifty_fifty;El país no es holoendémico (sólo una parte del país tiene riesgo de transmisión de la fiebre amarilla);The country is not holoendemic (only a portion of the country has risk of yellow fever transmission);2017-07-27;-1;Homogenea
MT;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
MH;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
MR;Fifty_fifty;El país no es holoendémico (sólo una parte del país tiene riesgo de transmisión de la fiebre amarilla);The country is not holoendemic (only a portion of the country has risk of yellow fever transmission);2017-07-27;-1;Homogenea
MU;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
MX;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
MD;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
MN;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
ME;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
MA;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
MZ;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
MM;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
NA;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
NP;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
NL;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
NZ;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
NI;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
NE;Fifty_fifty;El país no es holoendémico (sólo una parte del país tiene riesgo de transmisión de la fiebre amarilla);The country is not holoendemic (only a portion of the country has risk of yellow fever transmission);2017-07-27;-1;Homogenea
NG;Probable;La enfermedad ha sido notificada recientemente o en el pasado, además el mosquito vector y los reservorios animales continúan presentes en la actualidad;Yellow fever has been reported currently or in the past, plus vectors and animal reservoirs currently exist;2017-07-27;-1;Homogenea
KP;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
NO;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
OM;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
PK;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
PS;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
PA;Fifty_fifty;El país no es holoendémico (sólo una parte del país tiene riesgo de transmisión de la fiebre amarilla);The country is not holoendemic (only a portion of the country has risk of yellow fever transmission);2017-07-27;-1;Homogenea
PG;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
PY;Probable;La enfermedad ha sido notificada recientemente o en el pasado, además el mosquito vector y los reservorios animales continúan presentes en la actualidad;Yellow fever has been reported currently or in the past, plus vectors and animal reservoirs currently exist;2017-07-27;-1;Homogenea
PE;Fifty_fifty;El país no es holoendémico (sólo una parte del país tiene riesgo de transmisión de la fiebre amarilla);The country is not holoendemic (only a portion of the country has risk of yellow fever transmission);2017-07-27;-1;Homogenea
PH;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
PL;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
PT;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
QA;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
RO;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
RU;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
RW;Almost_certainly_not;Todas las regiones del país se clasifican como bajo potencial de exposición a fiebre amarilla;The entire area of this country is classified as  low potential for exposure to yellow fever ;2017-07-27;-1;Homogenea
LC;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
VC;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
WS;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
ST;Almost_certainly_not;Todas las regiones del país se clasifican como bajo potencial de exposición a fiebre amarilla;The entire area of this country is classified as  low potential for exposure to yellow fever ;2017-07-27;-1;Homogenea
SA;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
SN;Probable;La enfermedad ha sido notificada recientemente o en el pasado, además el mosquito vector y los reservorios animales continúan presentes en la actualidad;Yellow fever has been reported currently or in the past, plus vectors and animal reservoirs currently exist;2017-07-27;-1;Homogenea
RS;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
SC;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
SL;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
SG;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
SK;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
SI;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
SB;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
SO;Probably_not;El país está clasificado como bajo potencial de exposición a la enfermedad en algunas áreas. El resto de áreas se clasifican como sin riesgo.;The country is classified as  low potential for exposure to yellow fever  in only some areas,the remaining areas of this country are classified as having no risk of exposure to the disease.;2017-07-27;-1;Homogenea
ZA;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
KR;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
GS;Probable;La enfermedad ha sido notificada recientemente o en el pasado, además el mosquito vector y los reservorios animales continúan presentes en la actualidad;Yellow fever has been reported currently or in the past, plus vectors and animal reservoirs currently exist;2017-07-27;-1;Homogenea
ES;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
LK;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
SD;Fifty_fifty;El país no es holoendémico (sólo una parte del país tiene riesgo de transmisión de la fiebre amarilla);The country is not holoendemic (only a portion of the country has risk of yellow fever transmission);2017-07-27;-1;Homogenea
SR;Probable;La enfermedad ha sido notificada recientemente o en el pasado, además el mosquito vector y los reservorios animales continúan presentes en la actualidad;Yellow fever has been reported currently or in the past, plus vectors and animal reservoirs currently exist;2017-07-27;-1;Homogenea
SZ;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
SE;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
CH;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
SY;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
TW;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
TJ;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
TZ;Almost_certainly_not;Todas las regiones del país se clasifican como bajo potencial de exposición a fiebre amarilla;The entire area of this country is classified as  low potential for exposure to yellow fever ;2017-07-27;-1;Homogenea
TH;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
BS;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
GM;Probable;La enfermedad ha sido notificada recientemente o en el pasado, además el mosquito vector y los reservorios animales continúan presentes en la actualidad;Yellow fever has been reported currently or in the past, plus vectors and animal reservoirs currently exist;2017-07-27;-1;Homogenea
TL;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
TG;Probable;La enfermedad ha sido notificada recientemente o en el pasado, además el mosquito vector y los reservorios animales continúan presentes en la actualidad;Yellow fever has been reported currently or in the past, plus vectors and animal reservoirs currently exist;2017-07-27;-1;Homogenea
TO;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
TT;Fifty_fifty;El país no es holoendémico (sólo una parte del país tiene riesgo de transmisión de la fiebre amarilla);The country is not holoendemic (only a portion of the country has risk of yellow fever transmission);2017-07-27;-1;Homogenea
TN;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
TR;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
TM;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
UG;Probable;La enfermedad ha sido notificada recientemente o en el pasado, además el mosquito vector y los reservorios animales continúan presentes en la actualidad;Yellow fever has been reported currently or in the past, plus vectors and animal reservoirs currently exist;2017-07-27;-1;Homogenea
GB;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
UA;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
AE;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
UY;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
US;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
UZ;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
VU;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
VE;Fifty_fifty;El país no es holoendémico (sólo una parte del país tiene riesgo de transmisión de la fiebre amarilla);The country is not holoendemic (only a portion of the country has risk of yellow fever transmission);2017-07-27;-1;Homogenea
VN;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
YE;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
ZM;Probably_not;El país está clasificado como bajo potencial de exposición a la enfermedad en algunas áreas. El resto de áreas se clasifican como sin riesgo.;The country is classified as  low potential for exposure to yellow fever  in only some areas,the remaining areas of this country are classified as having no risk of exposure to the disease.;2017-07-27;-1;Homogenea
ZW;Impossibility;No hay riesgo;No risk;2017-07-27;-1;Homogenea
GF;Probable;La enfermedad ha sido notificada recientemente o en el pasado, además el mosquito vector y los reservorios animales continúan presentes en la actualidad;Yellow fever has been reported currently or in the past, plus vectors and animal reservoirs currently exist;2017-07-27;-1;Homogenea
